text;topic;predicted;extra;not_predicted
9353;право;криминал;криминал;право
4400;политика и общественная жизнь;политика и общественная жизнь;;
7285;искусство и культура;искусство и культура;;
8058;дом и домашнее хозяйство;дом и домашнее хозяйство;;
6732;политика и общественная жизнь;политика и общественная жизнь;;
5907;досуг, зрелища и развлечения,образование;искусство и культура;искусство и культура;досуг, зрелища и развлечения,образование
2132;политика и общественная жизнь;экономика;экономика;политика и общественная жизнь
3445;дом и домашнее хозяйство;дом и домашнее хозяйство;;
4891;политика и общественная жизнь;политика и общественная жизнь;;
1555;политика и общественная жизнь;политика и общественная жизнь;;
11066;искусство и культура;искусство и культура;;
3381;производство;дом и домашнее хозяйство;дом и домашнее хозяйство;производство
8800;искусство и культура;досуг, зрелища и развлечения,политика и общественная жизнь;политика и общественная жизнь,досуг, зрелища и развлечения;искусство и культура
7016;искусство и культура;искусство и культура;;
294;техника;бизнес;бизнес;техника
5435;спорт;спорт;;
2730;дом и домашнее хозяйство;дом и домашнее хозяйство;;
8645;политика и общественная жизнь;строительство и архитектура;строительство и архитектура;политика и общественная жизнь
9242;здоровье и медицина;здоровье и медицина;;
7821;частная жизнь;строительство и архитектура;строительство и архитектура;частная жизнь
3085;армия и вооруженные конфликты,политика и общественная жизнь;политика и общественная жизнь,армия и вооруженные конфликты;;
858;частная жизнь;политика и общественная жизнь;политика и общественная жизнь;частная жизнь
4621;наука и технологии;политика и общественная жизнь;политика и общественная жизнь;наука и технологии
6549;экономика,бизнес,бизнес, коммерция, экономика, финансы;бизнес,экономика,бизнес, коммерция, экономика, финансы;;
10334;частная жизнь;частная жизнь;;
5036;криминал;криминал;;
4180;дом и домашнее хозяйство;дом и домашнее хозяйство;;
5163;политика и общественная жизнь;политика и общественная жизнь;;
3105;администрация и управление;администрация и управление;;
7465;политика и общественная жизнь;политика и общественная жизнь;;
10275;здоровье и медицина;здоровье и медицина;;
2871;здоровье и медицина,транспорт,спорт;здоровье и медицина;;спорт,транспорт
11769;политика и общественная жизнь;администрация и управление,политика и общественная жизнь;администрация и управление;
11080;искусство и культура;искусство и культура,досуг, зрелища и развлечения;досуг, зрелища и развлечения;
1800;криминал;криминал;;
10876;частная жизнь;политика и общественная жизнь;политика и общественная жизнь;частная жизнь
7863;политика и общественная жизнь;политика и общественная жизнь;;
8883;искусство и культура;искусство и культура;;
4599;техника;дом и домашнее хозяйство;дом и домашнее хозяйство;техника
7698;экономика,бизнес,бизнес, коммерция, экономика, финансы;бизнес, коммерция, экономика, финансы;;бизнес,экономика
393;политика и общественная жизнь;политика и общественная жизнь;;
10727;политика и общественная жизнь;политика и общественная жизнь;;
10720;администрация и управление;экономика,бизнес, коммерция, экономика, финансы;бизнес, коммерция, экономика, финансы,экономика;администрация и управление
9466;политика и общественная жизнь;политика и общественная жизнь;;
211;религия;религия;;
7385;экономика,бизнес,бизнес, коммерция, экономика, финансы,политика и общественная жизнь;право;право;бизнес,экономика,политика и общественная жизнь,бизнес, коммерция, экономика, финансы
237;спорт;спорт;;
4865;право;бизнес,право;бизнес;
3155;армия и вооруженные конфликты,политика и общественная жизнь;история,армия и вооруженные конфликты;история;политика и общественная жизнь
1235;искусство и культура;искусство и культура;;
6877;право,политика и общественная жизнь;бизнес,экономика,политика и общественная жизнь,право,бизнес, коммерция, экономика, финансы;бизнес,экономика,бизнес, коммерция, экономика, финансы;
10889;сельское хозяйство;сельское хозяйство;;
4049;политика и общественная жизнь;политика и общественная жизнь;;
11603;политика и общественная жизнь;политика и общественная жизнь;;
8978;политика и общественная жизнь;политика и общественная жизнь;;
310;природа;политика и общественная жизнь;политика и общественная жизнь;природа
5669;политика и общественная жизнь;политика и общественная жизнь;;
824;политика и общественная жизнь;политика и общественная жизнь;;
3780;досуг, зрелища и развлечения;досуг, зрелища и развлечения;;
3471;администрация и управление,транспорт,спорт;транспорт,спорт;;администрация и управление
10237;политика и общественная жизнь;политика и общественная жизнь;;
369;политика и общественная жизнь;политика и общественная жизнь;;
7562;политика и общественная жизнь;политика и общественная жизнь;;
9781;политика и общественная жизнь;политика и общественная жизнь;;
2276;природа,политика и общественная жизнь;политика и общественная жизнь;;природа
8543;строительство и архитектура,строительство;строительство,строительство и архитектура;;
1009;политика и общественная жизнь;политика и общественная жизнь;;
8435;политика и общественная жизнь;администрация и управление,политика и общественная жизнь;администрация и управление;
5563;здоровье и медицина;здоровье и медицина;;
6396;экономика,бизнес,бизнес, коммерция, экономика, финансы;бизнес,экономика,бизнес, коммерция, экономика, финансы;;
3645;политика и общественная жизнь;политика и общественная жизнь;;
1468;происшествия;происшествия;;
3045;здоровье и медицина;здоровье и медицина;;
2661;политика и общественная жизнь;бизнес,экономика,бизнес, коммерция, экономика, финансы;бизнес,экономика,бизнес, коммерция, экономика, финансы;политика и общественная жизнь
911;экономика,криминал,бизнес,бизнес, коммерция, экономика, финансы;криминал;;бизнес,экономика,бизнес, коммерция, экономика, финансы
4451;строительство и архитектура,строительство;строительство;;строительство и архитектура
10114;строительство и архитектура,строительство;наука и технологии,строительство,строительство и архитектура;наука и технологии;
11049;строительство и архитектура,история,строительство;история,строительство и архитектура;;строительство
8991;дом и домашнее хозяйство;дом и домашнее хозяйство;;
4765;право;право;;
134;сельское хозяйство;политика и общественная жизнь;политика и общественная жизнь;сельское хозяйство
2734;происшествия;происшествия;;
8819;астрология, парапсихология, эзотерика,психология;частная жизнь;частная жизнь;психология,астрология, парапсихология, эзотерика
7597;экономика,бизнес,бизнес, коммерция, экономика, финансы;бизнес,строительство,экономика,бизнес, коммерция, экономика, финансы;строительство;
2453;экономика,бизнес,бизнес, коммерция, экономика, финансы;бизнес,экономика,политика и общественная жизнь,бизнес, коммерция, экономика, финансы;политика и общественная жизнь;
10877;криминал;криминал;;
7906;политика и общественная жизнь;политика и общественная жизнь;;
7765;спорт;спорт;;
7107;происшествия;происшествия;;
6701;экономика,бизнес,бизнес, коммерция, экономика, финансы;экономика;;бизнес,бизнес, коммерция, экономика, финансы
9139;дом и домашнее хозяйство,образование;здоровье и медицина;здоровье и медицина;дом и домашнее хозяйство,образование
1899;природа;природа;;
9320;политика и общественная жизнь;политика и общественная жизнь;;
1269;происшествия;происшествия,транспорт,спорт;спорт,транспорт;
534;транспорт,экономика,бизнес,бизнес, коммерция, экономика, финансы,спорт;спорт;;бизнес,транспорт,бизнес, коммерция, экономика, финансы,экономика
2693;сельское хозяйство;политика и общественная жизнь;политика и общественная жизнь;сельское хозяйство
6979;путешествия;путешествия;;
6339;политика и общественная жизнь;политика и общественная жизнь;;
11633;экономика,бизнес,бизнес, коммерция, экономика, финансы;бизнес,экономика,бизнес, коммерция, экономика, финансы;;
197;искусство и культура;искусство и культура;;
9351;дом и домашнее хозяйство;дом и домашнее хозяйство;;
11773;политика и общественная жизнь;политика и общественная жизнь;;
8995;политика и общественная жизнь;политика и общественная жизнь;;
11099;искусство и культура;искусство и культура;;
8695;строительство и архитектура,строительство;строительство,строительство и архитектура;;
11376;криминал;криминал,право;право;
4958;администрация и управление;спорт;спорт;администрация и управление
7664;администрация и управление;здоровье и медицина;здоровье и медицина;администрация и управление
9258;политика и общественная жизнь;политика и общественная жизнь;;
9049;политика и общественная жизнь;политика и общественная жизнь;;
5752;политика и общественная жизнь;досуг, зрелища и развлечения,спорт;спорт,досуг, зрелища и развлечения;политика и общественная жизнь
5154;частная жизнь,образование;образование;;частная жизнь
10777;здоровье и медицина;администрация и управление;администрация и управление;здоровье и медицина
5829;политика и общественная жизнь;политика и общественная жизнь;;
2091;образование;образование;;
1328;политика и общественная жизнь;политика и общественная жизнь;;
6529;социология,наука и технологии,политика и общественная жизнь;политика и общественная жизнь;;социология,наука и технологии
5260;политика и общественная жизнь;политика и общественная жизнь;;
9141;политика и общественная жизнь;политика и общественная жизнь;;
2014;политика и общественная жизнь;политика и общественная жизнь;;
8185;сельское хозяйство;сельское хозяйство;;
10313;образование;администрация и управление;администрация и управление;образование
10281;экономика,бизнес,бизнес, коммерция, экономика, финансы,политика и общественная жизнь;политика и общественная жизнь;;бизнес,экономика,бизнес, коммерция, экономика, финансы
3402;политика и общественная жизнь;политика и общественная жизнь;;
8862;политика и общественная жизнь;политика и общественная жизнь;;
8899;частная жизнь;политика и общественная жизнь;политика и общественная жизнь;частная жизнь
7423;частная жизнь;политика и общественная жизнь;политика и общественная жизнь;частная жизнь
4229;политика и общественная жизнь;политика и общественная жизнь;;
9212;политика и общественная жизнь;политика и общественная жизнь;;
9644;политика и общественная жизнь;политика и общественная жизнь;;
3148;политика и общественная жизнь;спорт;спорт;политика и общественная жизнь
6476;транспорт,спорт;транспорт,право,спорт;право;
4083;искусство и культура,политика и общественная жизнь;искусство и культура;;политика и общественная жизнь
8202;экономика,бизнес,бизнес, коммерция, экономика, финансы,политика и общественная жизнь;бизнес,экономика,бизнес, коммерция, экономика, финансы;;политика и общественная жизнь
4554;политика и общественная жизнь;политика и общественная жизнь;;
4815;политика и общественная жизнь;экономика,бизнес, коммерция, экономика, финансы;бизнес, коммерция, экономика, финансы,экономика;политика и общественная жизнь
1758;частная жизнь;наука и технологии;наука и технологии;частная жизнь
5512;здоровье и медицина,досуг, зрелища и развлечения;политика и общественная жизнь;политика и общественная жизнь;здоровье и медицина,досуг, зрелища и развлечения
7933;частная жизнь;политика и общественная жизнь,частная жизнь;политика и общественная жизнь;
11451;путешествия,религия,политика и общественная жизнь;наука и технологии,история;наука и технологии,история;путешествия,политика и общественная жизнь,религия
9803;администрация и управление;администрация и управление;;
3861;техника,экономика,бизнес,бизнес, коммерция, экономика, финансы;администрация и управление,техника;администрация и управление;бизнес,экономика,бизнес, коммерция, экономика, финансы
4352;политика и общественная жизнь;политика и общественная жизнь;;
305;спорт;спорт;;
5311;искусство и культура;строительство;строительство;искусство и культура
2357;искусство и культура;искусство и культура;;
374;спорт;спорт;;
8122;история,наука и технологии;наука и технологии,история;;
10948;политика и общественная жизнь;политика и общественная жизнь;;
6348;политика и общественная жизнь;политика и общественная жизнь;;
6942;техника;техника;;
3438;экономика,бизнес,бизнес, коммерция, экономика, финансы;строительство и архитектура;строительство и архитектура;бизнес,экономика,бизнес, коммерция, экономика, финансы
4755;политика и общественная жизнь;происшествия,политика и общественная жизнь,природа;происшествия,природа;
3222;досуг, зрелища и развлечения;досуг, зрелища и развлечения;;
5785;спорт;частная жизнь;частная жизнь;спорт
415;здоровье и медицина;досуг, зрелища и развлечения;досуг, зрелища и развлечения;здоровье и медицина
864;политика и общественная жизнь;частная жизнь;частная жизнь;политика и общественная жизнь
2800;администрация и управление,спорт;администрация и управление;;спорт
10518;наука и технологии;строительство,строительство и архитектура;строительство,строительство и архитектура;наука и технологии
10541;политика и общественная жизнь;политика и общественная жизнь;;
10863;политика и общественная жизнь;политика и общественная жизнь;;
5784;здоровье и медицина;наука и технологии;наука и технологии;здоровье и медицина
3857;политика и общественная жизнь;администрация и управление,политика и общественная жизнь;администрация и управление;
8325;политика и общественная жизнь;политика и общественная жизнь;;
579;сельское хозяйство;сельское хозяйство;;
4210;строительство и архитектура,сельское хозяйство,строительство;сельское хозяйство;;строительство и архитектура,строительство
966;политика и общественная жизнь;политика и общественная жизнь;;
1513;право,экономика,бизнес,бизнес, коммерция, экономика, финансы;бизнес,политика и общественная жизнь,право,бизнес, коммерция, экономика, финансы;политика и общественная жизнь;экономика
9917;администрация и управление;администрация и управление;;
1319;политика и общественная жизнь;политика и общественная жизнь;;
9734;энергетика,экономика,бизнес,бизнес, коммерция, экономика, финансы;политика и общественная жизнь,энергетика;политика и общественная жизнь;бизнес,экономика,бизнес, коммерция, экономика, финансы
9997;здоровье и медицина;здоровье и медицина;;
10392;образование;образование;;
1768;частная жизнь,искусство и культура;частная жизнь;;искусство и культура
1060;политика и общественная жизнь;политика и общественная жизнь,право;право;
1959;происшествия;происшествия;;
7791;досуг, зрелища и развлечения;досуг, зрелища и развлечения;;
152;досуг, зрелища и развлечения;досуг, зрелища и развлечения;;
478;досуг, зрелища и развлечения,частная жизнь;спорт;спорт;частная жизнь,досуг, зрелища и развлечения
11445;строительство и архитектура,строительство;строительство,строительство и архитектура;;
4862;политика и общественная жизнь;политика и общественная жизнь;;
587;политика и общественная жизнь;политика и общественная жизнь;;
2504;экономика,бизнес,бизнес, коммерция, экономика, финансы;бизнес, коммерция, экономика, финансы;;бизнес,экономика
1286;политика и общественная жизнь;политика и общественная жизнь;;
5460;экономика,сельское хозяйство,бизнес,бизнес, коммерция, экономика, финансы;сельское хозяйство;;бизнес,экономика,бизнес, коммерция, экономика, финансы
1989;политика и общественная жизнь;политика и общественная жизнь;;
7295;политика и общественная жизнь;бизнес,экономика,бизнес, коммерция, экономика, финансы;бизнес,экономика,бизнес, коммерция, экономика, финансы;политика и общественная жизнь
7651;экономика,бизнес,бизнес, коммерция, экономика, финансы;строительство,строительство и архитектура;строительство,строительство и архитектура;бизнес,экономика,бизнес, коммерция, экономика, финансы
8565;дом и домашнее хозяйство;дом и домашнее хозяйство;;
11126;частная жизнь;частная жизнь;;
3236;политика и общественная жизнь;политика и общественная жизнь;;
4789;религия;религия;;
5613;спорт;спорт;;
2854;досуг, зрелища и развлечения;дом и домашнее хозяйство;дом и домашнее хозяйство;досуг, зрелища и развлечения
1939;частная жизнь;частная жизнь;;
3005;политика и общественная жизнь;дом и домашнее хозяйство;дом и домашнее хозяйство;политика и общественная жизнь
3041;политика и общественная жизнь;транспорт;транспорт;политика и общественная жизнь
7422;образование;образование;;
7760;политика и общественная жизнь;частная жизнь;частная жизнь;политика и общественная жизнь
4679;политика и общественная жизнь;политика и общественная жизнь;;
4497;досуг, зрелища и развлечения;досуг, зрелища и развлечения;;
4700;экономика,бизнес,бизнес, коммерция, экономика, финансы;политика и общественная жизнь;политика и общественная жизнь;бизнес,экономика,бизнес, коммерция, экономика, финансы
1477;техника,образование;досуг, зрелища и развлечения;досуг, зрелища и развлечения;техника,образование
10937;искусство и культура;искусство и культура;;
8871;спорт;спорт;;
8558;производство;производство;;
2599;образование;образование;;
1351;экономика,бизнес,бизнес, коммерция, экономика, финансы;политика и общественная жизнь;политика и общественная жизнь;бизнес,экономика,бизнес, коммерция, экономика, финансы
3889;политика и общественная жизнь;политика и общественная жизнь;;
3244;криминал;криминал;;
9175;политика и общественная жизнь;политика и общественная жизнь;;
6527;транспорт,политика и общественная жизнь,спорт;транспорт,право,спорт;право;политика и общественная жизнь
11718;частная жизнь;частная жизнь;;
7690;криминал;право;право;криминал
7938;политика и общественная жизнь;политика и общественная жизнь;;
4758;здоровье и медицина,администрация и управление;транспорт;транспорт;здоровье и медицина,администрация и управление
10107;спорт;спорт;;
4666;техника,образование;спорт;спорт;техника,образование
8940;экономика,бизнес,бизнес, коммерция, экономика, финансы;бизнес, коммерция, экономика, финансы;;бизнес,экономика
5368;транспорт,строительство,спорт;строительство;;спорт,транспорт
5837;сельское хозяйство;сельское хозяйство;;
3305;здоровье и медицина,образование;здоровье и медицина;;образование
11704;политика и общественная жизнь;политика и общественная жизнь;;
11037;частная жизнь;частная жизнь;;
6735;здоровье и медицина;политика и общественная жизнь;политика и общественная жизнь;здоровье и медицина
4330;производство;политика и общественная жизнь;политика и общественная жизнь;производство
1618;политика и общественная жизнь;политика и общественная жизнь;;
890;криминал;криминал;;
3483;досуг, зрелища и развлечения;политика и общественная жизнь;политика и общественная жизнь;досуг, зрелища и развлечения
9748;строительство и архитектура,строительство;наука и технологии,строительство,строительство и архитектура;наука и технологии;
10577;образование;частная жизнь;частная жизнь;образование
8725;спорт;спорт;;
8535;политика и общественная жизнь;политика и общественная жизнь;;
2889;политика и общественная жизнь;криминал;криминал;политика и общественная жизнь
4140;политика и общественная жизнь;политика и общественная жизнь;;
4811;спорт;спорт;;
1844;здоровье и медицина,происшествия;здоровье и медицина;;происшествия
11380;администрация и управление,образование;политика и общественная жизнь;политика и общественная жизнь;администрация и управление,образование
5355;право,политика и общественная жизнь;политика и общественная жизнь,право;;
4090;природа;политика и общественная жизнь;политика и общественная жизнь;природа
11468;политика и общественная жизнь;политика и общественная жизнь;;
8753;экономика,бизнес,бизнес, коммерция, экономика, финансы;бизнес,экономика,бизнес, коммерция, экономика, финансы;;
11517;администрация и управление;политика и общественная жизнь;политика и общественная жизнь;администрация и управление
9288;политика и общественная жизнь;политика и общественная жизнь;;
8987;энергетика,экономика,бизнес,бизнес, коммерция, экономика, финансы;энергетика;;бизнес,экономика,бизнес, коммерция, экономика, финансы
7851;администрация и управление,транспорт,спорт;транспорт;;спорт,администрация и управление
7206;армия и вооруженные конфликты,политика и общественная жизнь;политика и общественная жизнь;;армия и вооруженные конфликты
480;политика и общественная жизнь;политика и общественная жизнь;;
7721;политика и общественная жизнь;политика и общественная жизнь;;
11538;политика и общественная жизнь;бизнес,экономика;бизнес,экономика;политика и общественная жизнь
6608;политика и общественная жизнь;политика и общественная жизнь;;
2506;криминал;криминал;;
1586;политика и общественная жизнь;политика и общественная жизнь;;
3906;здоровье и медицина,спорт;политика и общественная жизнь;политика и общественная жизнь;спорт,здоровье и медицина
7170;политика и общественная жизнь;администрация и управление;администрация и управление;политика и общественная жизнь
7669;спорт;спорт;;
95;частная жизнь;политика и общественная жизнь;политика и общественная жизнь;частная жизнь
3569;политика и общественная жизнь;природа;природа;политика и общественная жизнь
605;транспорт,спорт;частная жизнь;частная жизнь;спорт,транспорт
11182;образование;образование;;
2576;администрация и управление,техника;техника;;администрация и управление
2155;политика и общественная жизнь;политика и общественная жизнь;;
1716;спорт;спорт;;
3631;транспорт,спорт;досуг, зрелища и развлечения;досуг, зрелища и развлечения;спорт,транспорт
7621;спорт;спорт;;
11344;путешествия;путешествия;;
4016;строительство и архитектура,строительство;частная жизнь;частная жизнь;строительство и архитектура,строительство
4238;администрация и управление,политика и общественная жизнь;бизнес,политика и общественная жизнь,бизнес, коммерция, экономика, финансы;бизнес,бизнес, коммерция, экономика, финансы;администрация и управление
976;политика и общественная жизнь;политика и общественная жизнь;;
10959;производство;бизнес, коммерция, экономика, финансы;бизнес, коммерция, экономика, финансы;производство
6783;дом и домашнее хозяйство,частная жизнь;здоровье и медицина;здоровье и медицина;частная жизнь,дом и домашнее хозяйство
5822;администрация и управление;администрация и управление;;
5093;частная жизнь;политика и общественная жизнь,частная жизнь;политика и общественная жизнь;
10573;экономика,бизнес,бизнес, коммерция, экономика, финансы;экономика,политика и общественная жизнь,бизнес, коммерция, экономика, финансы;политика и общественная жизнь;бизнес
1756;искусство и культура;искусство и культура;;
9386;политика и общественная жизнь;политика и общественная жизнь;;
5506;право,политика и общественная жизнь;бизнес,экономика,политика и общественная жизнь,право,бизнес, коммерция, экономика, финансы;бизнес,экономика,бизнес, коммерция, экономика, финансы;
10811;здоровье и медицина,администрация и управление;частная жизнь;частная жизнь;здоровье и медицина,администрация и управление
3910;здоровье и медицина,частная жизнь;политика и общественная жизнь;политика и общественная жизнь;частная жизнь,здоровье и медицина
4584;политика и общественная жизнь;политика и общественная жизнь;;
5211;досуг, зрелища и развлечения;искусство и культура;искусство и культура;досуг, зрелища и развлечения
2593;спорт;спорт;;
6217;транспорт,политика и общественная жизнь,спорт;администрация и управление,бизнес,транспорт,право,спорт;бизнес,администрация и управление,право;политика и общественная жизнь
6662;спорт;спорт;;
8438;политика и общественная жизнь;политика и общественная жизнь;;
2961;наука и технологии;политика и общественная жизнь;политика и общественная жизнь;наука и технологии
10135;искусство и культура;искусство и культура;;
6171;досуг, зрелища и развлечения;бизнес,экономика,бизнес, коммерция, экономика, финансы;бизнес,экономика,бизнес, коммерция, экономика, финансы;досуг, зрелища и развлечения
4999;администрация и управление;политика и общественная жизнь;политика и общественная жизнь;администрация и управление
1874;право,политика и общественная жизнь;политика и общественная жизнь;;право
5013;политика и общественная жизнь;политика и общественная жизнь;;
5015;искусство и культура;политика и общественная жизнь;политика и общественная жизнь;искусство и культура
1352;природа,политика и общественная жизнь;политика и общественная жизнь;;природа
2265;происшествия;происшествия;;
86;религия;религия;;
11531;экономика,бизнес,бизнес, коммерция, экономика, финансы;бизнес,экономика,бизнес, коммерция, экономика, финансы;;
2921;администрация и управление;бизнес,экономика,бизнес, коммерция, экономика, финансы;бизнес,экономика,бизнес, коммерция, экономика, финансы;администрация и управление
995;политика и общественная жизнь;политика и общественная жизнь;;
9749;искусство и культура;искусство и культура;;
5291;дом и домашнее хозяйство;политика и общественная жизнь;политика и общественная жизнь;дом и домашнее хозяйство
3218;право;политика и общественная жизнь;политика и общественная жизнь;право
7022;здоровье и медицина,образование;здоровье и медицина;;образование
11020;криминал;криминал;;
2975;политика и общественная жизнь;здоровье и медицина;здоровье и медицина;политика и общественная жизнь
4835;право;право;;
4899;спорт;спорт;;
6056;политика и общественная жизнь;администрация и управление;администрация и управление;политика и общественная жизнь
11783;криминал;криминал;;
8089;спорт;спорт;;
2911;экология;экология;;
8760;наука и технологии;наука и технологии;;
3283;транспорт,спорт;спорт;;транспорт
5050;искусство и культура;искусство и культура;;
9235;экономика,бизнес,бизнес, коммерция, экономика, финансы;политика и общественная жизнь;политика и общественная жизнь;бизнес,экономика,бизнес, коммерция, экономика, финансы
3304;происшествия;криминал;криминал;происшествия
10691;досуг, зрелища и развлечения;искусство и культура;искусство и культура;досуг, зрелища и развлечения
370;криминал;криминал;;
6231;право;политика и общественная жизнь,право;политика и общественная жизнь;
2313;криминал;экономика;экономика;криминал
7122;дом и домашнее хозяйство,частная жизнь;частная жизнь;;дом и домашнее хозяйство
6888;досуг, зрелища и развлечения;досуг, зрелища и развлечения;;
